ID,bag,site,t1,t2,line,event,censor
1,2,Williston Creek,0,5,HNRY3N,1,0
2,2,Williston Creek,5,19,HNRY3N,1,0
3,2,Williston Creek,19,34,HNRY3N,1,0
4,2,Williston Creek,47,75,HNRY3N,1,0
5,2,Williston Creek,47,75,HNRY3N,1,0
6,2,Williston Creek,47,75,HNRY3N,1,0
7,2,Williston Creek,47,75,HNRY3N,1,0
8,2,Williston Creek,47,75,HNRY3N,1,0
9,2,Williston Creek,47,75,HNRY3N,1,0
10,2,Williston Creek,47,75,HNRY3N,1,0
11,2,Williston Creek,47,75,HNRY3N,1,0
12,2,Williston Creek,75,88,HNRY3N,1,0
13,2,Williston Creek,75,88,HNRY3N,1,0
14,2,Williston Creek,75,88,HNRY3N,1,0
15,2,Williston Creek,75,88,HNRY3N,1,0
16,2,Williston Creek,75,88,HNRY3N,1,0
17,2,Williston Creek,75,88,HNRY3N,1,0
18,2,Williston Creek,75,88,HNRY3N,1,0
19,2,Williston Creek,75,88,HNRY3N,1,0
20,2,Williston Creek,75,88,HNRY3N,1,0
21,2,Williston Creek,75,88,HNRY3N,1,0
22,2,Williston Creek,75,88,HNRY3N,1,0
23,2,Williston Creek,75,88,HNRY3N,1,0
24,2,Williston Creek,75,88,HNRY3N,1,0
25,2,Williston Creek,75,88,HNRY3N,1,0
26,2,Williston Creek,75,88,HNRY3N,1,0
27,2,Williston Creek,75,88,HNRY3N,1,0
28,2,Williston Creek,75,88,HNRY3N,1,0
29,2,Williston Creek,75,88,HNRY3N,1,0
30,2,Williston Creek,75,88,HNRY3N,1,0
31,2,Williston Creek,75,88,HNRY3N,1,0
32,2,Williston Creek,75,88,HNRY3N,1,0
33,2,Williston Creek,75,88,HNRY3N,1,0
34,2,Williston Creek,75,88,HNRY3N,1,0
35,2,Williston Creek,75,88,HNRY3N,1,0
36,2,Williston Creek,75,88,HNRY3N,1,0
37,2,Williston Creek,75,88,HNRY3N,1,0
38,2,Williston Creek,75,88,HNRY3N,1,0
39,2,Williston Creek,75,88,HNRY3N,1,0
40,2,Williston Creek,75,88,HNRY3N,1,0
41,2,Williston Creek,75,88,HNRY3N,1,0
42,2,Williston Creek,75,88,HNRY3N,1,0
43,2,Williston Creek,75,88,HNRY3N,1,0
44,2,Williston Creek,75,88,HNRY3N,1,0
45,2,Williston Creek,88,95,HNRY3N,1,0
46,2,Williston Creek,95,102,HNRY3N,1,0
47,2,Williston Creek,102,116,HNRY3N,1,0
48,2,Williston Creek,116,130,HNRY3N,1,0
49,2,Williston Creek,116,130,HNRY3N,1,0
50,2,Williston Creek,116,130,HNRY3N,1,0
51,2,Williston Creek,116,130,HNRY3N,1,0
52,2,Williston Creek,130,145,HNRY3N,1,0
53,2,Williston Creek,130,145,HNRY3N,1,0
54,2,Williston Creek,145,158,HNRY3N,1,0
55,2,Williston Creek,145,158,HNRY3N,1,0
56,2,Williston Creek,158,172,HNRY3N,1,0
57,2,Williston Creek,158,172,HNRY3N,1,0
58,2,Williston Creek,172,186,HNRY3N,1,0
59,2,Williston Creek,172,186,HNRY3N,1,0
60,2,Williston Creek,172,186,HNRY3N,1,0
61,2,Williston Creek,172,186,HNRY3N,1,0
62,2,Williston Creek,172,186,HNRY3N,1,0
63,2,Williston Creek,172,186,HNRY3N,1,0
64,2,Williston Creek,172,186,HNRY3N,1,0
65,2,Williston Creek,186,200,HNRY3N,1,0
66,2,Williston Creek,186,200,HNRY3N,1,0
67,2,Williston Creek,200,214,HNRY3N,1,0
68,2,Williston Creek,200,214,HNRY3N,1,0
69,2,Williston Creek,200,214,HNRY3N,1,0
70,2,Williston Creek,200,214,HNRY3N,1,0
71,2,Williston Creek,214,228,HNRY3N,1,0
72,2,Williston Creek,5,Inf,HNRY3N,0,1
73,2,Williston Creek,19,Inf,HNRY3N,0,1
74,2,Williston Creek,34,Inf,HNRY3N,0,1
75,2,Williston Creek,34,Inf,HNRY3N,0,1
76,2,Williston Creek,47,Inf,HNRY3N,0,1
77,2,Williston Creek,47,Inf,HNRY3N,0,1
78,2,Williston Creek,75,Inf,HNRY3N,0,1
79,2,Williston Creek,75,Inf,HNRY3N,0,1
80,2,Williston Creek,88,Inf,HNRY3N,0,1
81,2,Williston Creek,88,Inf,HNRY3N,0,1
82,2,Williston Creek,95,Inf,HNRY3N,0,1
83,2,Williston Creek,95,Inf,HNRY3N,0,1
84,2,Williston Creek,102,Inf,HNRY3N,0,1
85,2,Williston Creek,102,Inf,HNRY3N,0,1
86,2,Williston Creek,116,Inf,HNRY3N,0,1
87,2,Williston Creek,116,Inf,HNRY3N,0,1
88,2,Williston Creek,130,Inf,HNRY3N,0,1
89,2,Williston Creek,130,Inf,HNRY3N,0,1
90,2,Williston Creek,145,Inf,HNRY3N,0,1
91,2,Williston Creek,145,Inf,HNRY3N,0,1
92,2,Williston Creek,158,Inf,HNRY3N,0,1
93,2,Williston Creek,172,Inf,HNRY3N,0,1
